,0,1,2,3,4,5,6,7,8,9,10,11,12
Tfdp1_extended (133g),0.25726188415022994,0.023499494182269935,-0.22416240927872266,-0.1524038996618272,-0.0022473597395630245,0.31362331258220644,0.26327212486785606,-0.09104820348198511,0.0959168192217332,0.9277810350336403,0.16443830342975502,-0.08656089499701233,-0.40454299200571786
Nfyb_extended (47g),0.9355006544081905,-0.4107664211902492,-1.1816403463194503,-1.2688769666111528,-0.5886444610506406,0.3431735251589876,-0.9869895692119266,-1.0601725942538944,1.1207021386871898,2.492020230882834,0.19389502900028524,-0.35808398371901656,-0.1678504083524174
Nfyb (28g),0.5339870992047676,-0.7043590921569153,-1.2649155256495306,-1.3935444537505275,-1.0816872783368312,0.6433173394803339,-0.9939422384341702,-0.9949929231043984,1.020220730683715,3.180640019977309,-0.366972210229084,-0.41349661783064706,-0.8729628633727123
E2f2_extended (187g),0.6765188883610243,0.16346182825968303,-0.39829774118924005,-0.21704406990837358,0.0782912519631066,0.26805770381556476,-0.48376682172008756,-0.487320334325477,0.2842315559629685,1.0709545624974401,0.4328554544576606,-0.19494494418960878,-0.09325661924589573
E2f2 (147g),0.7136755888989371,0.20887816623966604,-0.4608248136844444,-0.3524930387967529,0.2364519695410383,0.10940910417958637,-0.521965377216493,-0.5931815222137833,0.41729364713878975,1.126638011287197,0.37182766260845623,-0.24245602376161007,-0.2732464073652888
E2f8_extended (36g),-1.0091597685513185,-2.0470085455737057,-2.6462734406856017,-2.2461225301342838,-2.984474263163588,-0.3840622038408464,-1.3724916896253503,-0.472029838721258,0.28121641865401836,6.583398718465328,-0.34029470212270707,-1.5882178254137704,-0.3003421579933066
E2f8 (19g),-1.6980221249084473,-4.650257213588652,-4.108444534744599,-4.079286531170723,-5.922829270630384,-1.4425944987892947,-3.6759831907716203,-0.07619649119034638,-0.7922564766590987,9.630363046711631,-3.1147196205736747,-1.455071763345487,-0.38301944442927305
Sin3a_extended (770g),0.4677088057292965,0.39021550214789336,0.2675651900727606,-0.011682620850727915,0.27574496029068846,0.3354529460951864,-0.14092286579409213,-0.11356954151464589,0.058219612308480335,0.11573736826091113,0.49817230187467465,-0.07874057128499556,0.10708026866835277
Sin3a (334g),0.6200098028064513,0.28048805042003855,0.22516423825001847,-0.15615601144511654,0.10585341929297878,0.3848319685884918,-0.11467650614427494,-0.1439761221488855,0.07224594758777478,0.2199517530998878,0.5062528727183133,-0.13910645607785088,-0.013981827431275635
Mxi1_extended (2236g),0.406560351275454,0.26002877779696193,0.27172936497676503,0.20239387104145076,0.34132004268240657,0.38791226697650083,0.04699541416324042,-0.10157974254212275,0.14035960607404657,0.025007036582883644,0.25493303485097674,-0.04520060634539827,-0.23265220024600364
